GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,LSOA_CODE,LSOA_NAME,OA_CODE,OA_NAME,AREA_METADATA,DATA_VALUE All,DATA_VALUE NoC,DATA_VALUE 1,DATA_VALUE 2,DATA_VALUE 3,DATA_VALUE 4
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008891,Birmingham 089B,00CNFA0001,00CNFA0001,,120,68,37,12,3,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008893,Birmingham 089D,00CNFA0002,00CNFA0002,,152,71,59,22,0,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008894,Birmingham 089E,00CNFA0003,00CNFA0003,,122,30,34,42,16,0
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008889,Birmingham 078D,00CNFA0004,00CNFA0004,,137,53,42,30,9,3
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008889,Birmingham 078D,00CNFA0005,00CNFA0005,,127,16,31,51,21,8
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008892,Birmingham 089C,00CNFA0006,00CNFA0006,,134,25,49,32,22,6
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008891,Birmingham 089B,00CNFA0007,00CNFA0007,,135,31,62,32,10,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008893,Birmingham 089D,00CNFA0008,00CNFA0008,,128,24,48,32,21,3
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008889,Birmingham 078D,00CNFA0009,00CNFA0009,,126,26,50,30,17,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008890,Birmingham 089A,00CNFA0010,00CNFA0010,,140,41,40,41,15,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008893,Birmingham 089D,00CNFA0011,00CNFA0011,,122,27,48,34,10,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008891,Birmingham 089B,00CNFA0012,00CNFA0012,,128,47,44,26,11,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008895,Birmingham 089F,00CNFA0013,00CNFA0013,,141,57,40,36,4,4
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008894,Birmingham 089E,00CNFA0014,00CNFA0014,,128,30,47,35,13,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008894,Birmingham 089E,00CNFA0015,00CNFA0015,,144,29,38,60,14,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008893,Birmingham 089D,00CNFA0016,00CNFA0016,,142,47,43,27,22,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008894,Birmingham 089E,00CNFA0017,00CNFA0017,,104,26,31,24,23,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008895,Birmingham 089F,00CNFA0018,00CNFA0018,,115,23,26,37,24,5
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008895,Birmingham 089F,00CNFA0019,00CNFA0019,,123,33,35,28,20,7
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008894,Birmingham 089E,00CNFA0020,00CNFA0020,,117,9,41,55,12,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008895,Birmingham 089F,00CNFA0021,00CNFA0021,,107,33,25,29,16,4
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008895,Birmingham 089F,00CNFA0022,00CNFA0022,,111,29,30,23,25,4
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008896,Birmingham 066B,00CNFA0023,00CNFA0023,,111,15,30,41,20,5
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008897,Birmingham 067B,00CNFA0024,00CNFA0024,,129,8,27,34,46,14
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008896,Birmingham 066B,00CNFA0025,00CNFA0025,,103,15,27,31,22,8
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008897,Birmingham 067B,00CNFA0026,00CNFA0026,,121,19,40,40,19,3
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008897,Birmingham 067B,00CNFA0027,00CNFA0027,,124,36,52,26,10,0
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008898,Birmingham 066C,00CNFA0028,00CNFA0028,,117,12,34,31,32,8
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008896,Birmingham 066B,00CNFA0029,00CNFA0029,,117,15,28,42,21,11
