"00CNFA","Acocks Green"
"00CNFB","Aston"
"00CNFC","Bartley Green"
"00CNFD","Billesley"
"00CNFE","Bournville"
"00CNFF","Brandwood"
"00CNFG","Edgbaston"
"00CNFH","Erdington"
"00CNFJ","Fox Hollies"
"00CNFK","Hall Green"
"00CNFL","Handsworth"
"00CNFM","Harborne"
"00CNFN","Hodge Hill"
"00CNFP","Kingsbury"
"00CNFQ","King's Norton"
"00CNFR","Kingstanding"
"00CNFS","Ladywood"
"00CNFT","Longbridge"
"00CNFU","Moseley"
"00CNFW","Nechells"
"00CNFX","Northfield"
"00CNFY","Oscott"
"00CNFZ","Perry Barr"
"00CNGA","Quinton"
"00CNGB","Sandwell"
"00CNGC","Selly Oak"
"00CNGD","Shard End"
"00CNGE","Sheldon"
"00CNGF","Small Heath"
"00CNGG","Soho"
"00CNGH","Sparkbrook"
"00CNGJ","Sparkhill"
"00CNGK","Stockland Green"
"00CNGL","Sutton Four Oaks"
"00CNGM","Sutton New Hall"
"00CNGN","Sutton Vesey"
"00CNGP","Washwood Heath"
"00CNGQ","Weoley"
"00CNGR","Yardley"
