Wardcode,Wardname,Subgroup,Group,Supergroup,Age 0 - 4,Age 5 -14,Age 25 - 44,Age 45 - 64,Age 65-over,Indian/Pakistani/Bangladeshi,Black,Not born in UK,Population density,Separated/divorced,Single person household,Single pensioner household,Lone parent household,Two adult no children household,Households with non-dependent children,Rent (public),Rent (private),Terraced,Detached,Flats,No central heating,Rooms per household,People per room,HE qualifications,Routine occupation,Two or more car household,Public transport,Work from home,Limiting long-term illness,Provide unpaid care,Students,Unemployed,Long term unemployment,Men working part-time,Economically inactive women looking after family,Women working part-time,Agriculture/fishing,Mining/quarrying/ construction,Manufacturing,Hotel & catering,Health/social work,Finance,Wholesale/retail
00CNFA,Acock's Green,2.4.5,2.4,2,6.58,14.27,24.39,20.29,14.78,11.23,4.53,8.63,43.02,9.21,19.05,15.07,8.25,14.14,10.31,22.97,11.77,38.15,5.45,17.88,27.83,2.34,0.46,12.51,26.58,17.07,24.29,6.59,9.34,9.72,6.09,5.59,33.53,3.18,12.36,18.46,0.24,7.54,19.28,5.04,10.49,4.58,16.45
00CNFB,Aston,6.8.14,6.8,6,10.83,17.98,20.24,14.83,10.02,42.4,21.51,31.29,41.85,10.49,26.55,12.46,15.75,6.43,6.68,53.5,13.51,41.05,6.49,36.45,22.85,2.58,0.55,10.35,24.91,6.41,33.38,7.93,11.49,8.43,11.97,10.58,37.69,6.31,23.81,9.87,0.28,4.61,18.09,11.35,11.38,3.48,16.27
00CNFC,Bartley Green,2.3.4,2.3,2,6.98,14.05,20.37,22.79,15.3,2.08,3.95,4.33,28.07,10.23,20.11,15.21,12.75,12.32,10.56,41.89,7.12,35.35,9.08,25.27,15.36,2.24,0.48,10.07,27.35,16.94,26.86,5.99,10.09,10.61,7.04,6.33,37.33,3.18,12.19,19.24,0.31,6.87,18.27,6.07,12.37,4.72,14.58
00CNFD,Billesley,2.4.5,2.4,2,6.43,15.74,22,21.84,16.69,6.59,2.81,5.58,45.37,9.17,14.67,15.8,10.45,12.22,12.11,28.8,7.52,33.07,7.5,16.28,30.97,2.44,0.48,11.21,25.92,20.14,22.31,6.92,9.95,10.96,6.02,5.17,35.95,3.21,12.94,19.88,0.52,8.11,17.9,4.57,11.13,4.88,17.17
00CNFE,Bournville,5.7.12,5.7,5,6.1,13.65,23.18,22.11,16.08,4.1,2.55,6.58,42.17,8.99,19.77,16.07,7.8,15.3,8.57,26.28,11.61,39.19,7.05,22.46,16.24,2.26,0.44,25.43,20.81,20.74,22.52,6.72,8.5,10.92,7.3,4.51,36.22,3.52,9.61,18.88,0.46,5.69,14.57,3.47,16.07,4.62,12.24
00CNFF,Brandwood,2.4.6,2.4,2,6.26,13.97,22.09,23.44,17.12,5.83,3.51,6.31,41.67,9.06,17.47,16.93,9.34,13.52,10.92,29.81,7.48,25.24,9.06,23.39,14.17,2.3,0.45,17.36,22.33,20.78,23.16,7.14,9.65,11.2,6.21,5.16,40.63,3.37,11.27,18.1,0.26,7.13,16.38,3.97,13.09,5.14,14.15
00CNFG,Edgbaston,5.7.11,5.7,5,3.63,7.93,18.42,18.93,13.13,16.99,8.4,24.19,25.77,8.43,32,15.39,5.13,13.08,5.32,28.56,26.27,16.03,17.88,55.91,10.15,2.07,0.41,34.65,9.38,22.77,21.98,8.97,8.56,8.56,30.87,4.64,42.92,2.72,7.8,8.61,0.21,2.38,9.52,6.74,17.73,4.21,12.78
00CNFH,Erdington,2.4.5,2.4,2,6.51,12.64,22.85,21.49,16.35,5.16,5.22,6.34,49.1,9.57,22.49,15.85,9.51,13.03,9.36,23.3,12.68,23.98,8.04,33.07,18.84,2.22,0.44,15.95,22.98,18.91,23.9,7.1,9.86,10.23,7.32,5.18,30.65,2.85,10.53,17.16,0.35,7.43,17.37,4.39,12.22,4.59,16.7
00CNFJ,Fox Hollies,2.4.5,2.4,2,7.81,16.76,22,19.59,14.41,17.62,3.65,10.77,53.8,9.2,15.57,15.68,10.65,11.56,10.83,31.17,10.24,43.12,4.72,14.42,35.49,2.52,0.51,11.48,27.67,15.34,23.2,6.76,9.69,9.69,7.1,5.81,36.86,3.51,15.63,17.51,0.31,7,20.37,5.22,10.81,3.99,16.68
00CNFK,Hall Green,7.12.20,7.12,7,6.38,14.1,22.01,23.37,15.74,21.32,1.72,12.27,48.67,6.09,11.75,14.66,5.27,15.04,11.8,9.58,8.53,19.85,13.48,9.31,15.05,2.62,0.46,20.26,18.99,30.72,18.31,8.15,7.56,11.2,7.51,3.77,31.25,3.34,11.44,19.14,0.3,7.56,15.96,3.91,10.02,5.44,16.36
00CNFL,Handsworth,6.8.14,6.8,6,9.93,17.61,19.95,14.81,10.07,56.77,18.82,38.5,72.11,8.05,21.93,10.94,12.19,5.15,7.33,35.36,16.01,43.02,8.02,26.72,25.07,2.96,0.57,13.27,21.59,11.24,30.29,9.33,10.5,8.75,15.51,8.9,33.18,6.19,24.07,9.48,0.18,3.26,17.97,8.41,11.45,3.53,16.99
00CNFM,Harborne,5.7.12,5.7,5,5.71,11.03,21.48,20.98,17.03,6.39,3.16,10.65,39.88,7.95,21.73,17.34,6.7,15.05,7.27,24.73,17.28,31.11,10.2,27.57,17.46,2.13,0.41,38.1,13.52,24.13,21.4,7.47,7.96,9.62,11.87,3.77,41.74,2.67,9.88,14.86,0.19,4.29,11.5,4.02,18.62,4.98,9.63
00CNFN,Hodge Hill,1.2.3,1.2,1,6.94,15.59,21.78,22.26,15.66,6.39,4.08,5.35,45.66,8.08,15.51,14.75,10.37,13.72,11.59,30.13,6.33,22.36,6.84,21.45,19.17,2.43,0.48,8.95,27.69,19.73,22.93,6.42,9.72,10.94,5.5,5.49,34.84,3.23,13.31,18.9,0.32,7.92,20.79,4.33,10.14,3.87,17.93
00CNFP,Kingsbury,2.3.4,2.3,2,6.98,16.01,22.23,20.22,17.59,2.2,3.29,3.19,23.69,9.88,15.87,16.51,12.72,13.24,10.22,41.65,7.68,35.26,6.23,22.25,15.1,2.31,0.48,7.79,30.3,13.27,21.86,5.52,10.61,10.04,4.12,5.33,36.91,2.62,13.35,17.51,0.35,7.45,23.75,4.79,9.26,3.49,19.75
00CNFQ,King's Norton,2.3.4,2.3,2,7.34,14.81,20.02,23.77,15.82,0.99,2.68,3.51,35.42,10.88,17.03,15.6,12.35,13.79,11.31,40.33,6.86,31.11,10.39,25.72,9.86,2.32,0.47,11.58,26.62,19.12,24.06,6.54,10.43,10.59,5.27,5.72,37.87,3.28,13.85,18.43,0.52,7.75,18.15,5.29,13.81,4.64,15.23
00CNFR,Kingstanding,2.3.4,2.3,2,7.38,17.43,21.39,20.49,15.29,3.05,4.32,4.13,54.1,10.28,15.81,17.09,13.46,10.59,10.95,40.25,8.51,39.01,8.38,16.69,32.93,2.43,0.49,7.62,30.28,14.25,26.87,5.96,10.86,10.22,6.18,6.48,37.52,2.98,15.13,18.43,0.41,8.27,20.11,5.35,9.66,3.21,19.89
00CNFS,Ladywood,6.9.15,6.9,6,6.15,11.07,22.36,17.6,11.42,24.82,16.43,23.58,33.3,10.52,40,11.27,10.5,8.75,5.32,47.17,18.9,23.58,5.85,58.77,15.45,2.04,0.46,21.17,19.51,10.2,27.42,7.04,12.32,8.73,16.83,9.52,41.42,3.49,12.71,9.7,0.22,3.61,13.49,9.3,13.07,4.07,13.52
00CNFT,Longbridge,2.3.4,2.3,2,7.21,15.93,22.58,20.93,13.7,1.33,2.46,2.98,37.89,10.2,16.39,13.98,12.92,14.45,10.74,35.02,7.11,32.5,6.17,16.43,15.82,2.39,0.5,9.55,28.25,18.77,22.27,5.78,10.02,9.98,5.33,5.66,41.06,3.19,13.14,19.92,0.41,6.94,19.14,5.37,14.44,3.79,15.71
00CNFU,Moseley,5.7.12,5.7,5,6.24,12.81,23.3,21.27,13.97,23.74,4.09,18.22,36.31,7.72,26.04,13.88,5.45,13.9,6.27,17.27,20.07,34.92,16.73,31.61,16.06,2.36,0.43,39.33,11.72,24.15,21.88,8.3,9,9.68,10.47,5.14,33.13,3.95,11.64,12.85,0.35,3.54,10.68,3.15,16.16,3.64,11.4
00CNFW,Nechells,6.8.14,6.8,6,10.64,17.2,19.38,12.44,8.15,46.37,9.65,26.33,30.15,8.87,22.24,10.21,15.84,7.78,6.43,45.08,12.7,40.61,6.01,31.84,24.84,2.79,0.57,10.65,21.75,7.78,29.03,7.56,9.9,8.8,23.15,8.08,36.96,4.63,24.07,8.49,0.25,3.76,19.13,9.43,10.71,3.29,17.59
00CNFX,Northfield,1.1.2,1.1,1,5.65,13.44,21.88,24.89,17,0.91,1.6,2.98,44.17,8.26,17.27,15.91,7.64,16.4,10.29,21.45,6.65,19.34,11.13,20.13,16.44,2.28,0.45,13.34,24.06,22.2,21.19,6.81,8.72,11.37,5.15,4.23,37.07,3.09,9.33,20.64,0.51,6.75,18.2,4.28,14.23,5.07,13.99
00CNFY,Oscott,1.2.3,1.2,1,6.09,13.99,23.27,22.23,18.2,3.31,3.92,3.92,39.06,7.23,13.36,16.51,7.7,15.03,12,13.97,6.86,24.65,5.08,8.46,26.02,2.37,0.47,8.89,27.91,22.01,21.53,6.78,8.48,10.38,4.94,3.73,35.83,2.99,9.97,21.42,0.36,7.68,21.42,4.3,9.28,4.66,18.28
00CNFZ,Perry Barr,7.10.17,7.1,7,6.38,13.51,23.79,21.09,14.64,10.7,8.39,9.85,30.7,6.54,13.58,15.74,7.1,16.21,10.05,8.48,7.53,22.75,4.48,8.1,18.04,2.42,0.47,13.91,23.15,24.92,20.47,7.09,6.8,9.7,11.51,2.92,30,2.86,8.66,20.39,0.26,7.01,20.67,4.38,10.03,5.37,16.27
00CNGA,Quinton,1.1.2,1.1,1,5.76,13.09,21.07,24.46,17.85,7.36,3.45,7.07,41.41,6.79,14.56,15.33,8.05,15.7,11.37,21.77,6.89,25.49,12.41,12.7,15.64,2.35,0.44,19.76,20.76,25.56,21.58,8.14,8.95,11.59,7.24,4.08,38.05,3.34,9.42,19.78,0.23,5.66,15.11,4.53,14.78,4.67,14.24
00CNGB,Sandwell,6.8.14,6.8,6,6.73,15.05,22.18,18.16,12.74,48.02,16,30.43,39.3,6.71,23.26,11.73,9.33,8.02,9.19,17.86,16.59,28.83,15.4,21.27,15.12,2.62,0.5,19.2,22.08,20.92,24.54,8.66,9,9.92,15.73,6.59,34.32,3.53,12.73,11.9,0.25,3.41,19.94,4.55,12.71,4.47,16.62
00CNGC,Selly Oak,5.7.11,5.7,5,3.87,8.18,16.37,15.94,12.43,7.92,2.59,13.07,42.36,4.87,15.84,12.08,5.68,12.85,6.78,15.95,28.98,44.5,9.56,14.32,14.5,2.52,0.46,30.2,10.47,23.56,23.87,6.3,7.02,7.88,38.34,2.76,38.99,2.43,6.02,11.09,0.3,3.62,10.66,5.64,17.27,4.53,11.7
00CNGD,Shard End,2.3.4,2.3,2,7.37,14.82,20.49,20.35,19.56,1.63,3.3,2.82,38.17,10.4,18.06,19.09,13.38,11.54,9.8,41.83,8.19,40.56,4.39,23.03,33.93,2.19,0.48,5.71,31.38,12.69,23.87,6.3,10.4,10.31,4.67,6.36,36.94,2.77,14.44,18.17,0.19,7.17,23.32,5.47,10.1,3.66,17.44
00CNGE,Sheldon,1.2.3,1.2,1,6.45,13.07,21.4,22.74,20.24,2.56,1.61,3.41,34.81,7.22,12.51,18.57,7.49,14.96,11.92,21.29,6.81,13.38,6.07,16.55,24.83,2.32,0.46,8.91,25.95,22.04,19.42,6.21,8.39,10.76,4.34,4.4,34.77,3.2,10.94,20.94,0.47,8.25,20.2,5.13,8.36,4.96,16.41
00CNGF,Small Heath,6.8.14,6.8,6,11.45,20.25,19.15,13.53,9.38,65.94,5.24,34.05,66.02,7.22,14.01,9.53,11.7,6.71,8.28,25.92,17.96,56.49,5.96,16.74,33.85,3.37,0.64,11.3,23.09,10.49,25.88,8.93,10.1,9.03,12.54,7.89,33.56,6.32,30.16,9.42,0.25,4.11,19.04,8.68,10.88,2.8,19.79
00CNGG,Soho,6.8.14,6.8,6,8.79,17.22,22.72,15.46,9.64,46.95,21.98,32.97,53.69,8.91,20.85,10.08,17.43,7.12,8.12,35.93,16.22,58.81,7.51,16.22,28.63,2.7,0.54,12.84,27.32,9.1,33.74,8.23,11.52,9.62,11.8,9.53,38.78,5.18,18.69,12.93,0.11,3.24,21.12,7.07,13.67,3.16,17.24
00CNGH,Sparkbrook,6.8.14,6.8,6,10.83,19.87,19.15,14.83,9.51,61.58,9.51,36.64,60.08,9.19,22.21,10.88,13.95,5.82,7.55,47.56,15.71,46.19,7.35,31.83,22.28,3,0.63,10.69,22.29,6.76,28.57,8.18,11.91,8.72,12.64,9.58,38.11,5.63,29.73,8.11,0.27,3.7,20.28,10.1,9.81,3.19,17.05
00CNGJ,Sparkhill,6.8.14,6.8,6,9.91,17.97,20.37,15.31,9.11,63.04,5.36,34.61,94.85,7.16,22.85,8.98,9.96,8.14,6.47,22.02,21.34,46.2,8.89,30.88,25.04,3.05,0.59,19.17,20.34,12.87,27.31,8.63,10.72,9.33,12.24,8.04,34.45,5.76,26.09,8.71,0.26,2.95,17.39,6.06,11.63,4.42,16.14
00CNGK,Stockland Green,2.4.5,2.4,2,5.99,14.09,24.18,19.31,14.35,9.95,10.25,10.66,44.87,9.56,22.35,14.86,9.64,12.05,9.5,24.43,14.23,34.02,5.54,23.72,26.37,2.31,0.46,13.12,25.29,14.93,26.97,6.82,10.68,9.65,9.72,5.91,33.98,2.87,11.25,15.31,0.23,6.36,19.34,5.58,11.71,3.67,16.74
